id,name,created_at,parent_id
00878519-12c0-498a-8b0e-c5b79de07f24,Term 2 - Winter,2026-03-29 02:54:00.581168+00,
0f189d2c-e23c-46a2-8988-31984a29d820,Cariology,2026-03-23 20:08:54.823253+00,
6606906b-a1c0-4a46-9b2c-9571839f5a8b,Pharmacology,2026-02-04 01:47:54.06256+00,00878519-12c0-498a-8b0e-c5b79de07f24
66323871-0e7f-4b53-a47f-8838d9875f7d,Growth and Development,2026-02-03 18:42:27.711714+00,00878519-12c0-498a-8b0e-c5b79de07f24
7df16afe-1fc8-4e3b-99cb-bdd43ae4c596,BMS 2: Exam 2 Lectures,2026-03-29 20:06:43.026057+00,
91f23899-64e5-4aee-83b4-fed0a33574e5,BMS 2: Exam 1 Lectures,2026-03-09 16:31:42.766065+00,
d618671e-3161-4f7d-8df2-1877c6c9c325,BMS Exam 1,2026-02-04 22:00:29.747268+00,00878519-12c0-498a-8b0e-c5b79de07f24
e44a470c-217b-441c-90b8-90096b41e02d,Radiology,2026-03-28 00:14:08.342975+00,
f11a0007-1c92-4fc0-a687-b242d1fff879,BMS Exam 3,2026-02-01 21:02:34.47466+00,00878519-12c0-498a-8b0e-c5b79de07f24
f7fa4b00-b283-4f14-b19b-59a782b67934,Clinical Foundations,2026-02-05 01:54:12.985476+00,00878519-12c0-498a-8b0e-c5b79de07f24
